New Mexico ,.5541,99.0,97.1,-.068,.5157
Eastern Washington ,.5476,110.2,108.3,+.063,.4008
Loyola Chicago ,.5465,103.2,101.5,+.042,.5420
Manhattan ,.5461,101.0,99.4,+.005,.4111
San Francisco ,.5443,103.2,101.6,-.082,.5697
Princeton ,.5418,106.0,104.5,-.032,.4366
Coastal Carolina ,.5415,103.6,102.1,+.006,.3481
Georgia Southern ,.5409,99.8,98.4,+.027,.3694
Montana ,.5401,104.9,103.4,-.014,.4034
Belmont ,.5397,107.9,106.4,+.071,.4133
Auburn ,.5351,103.1,101.9,+.044,.6851
North Dakota St. ,.5301,101.0,100.0,+.117,.3894
St. Francis NY ,.5296,101.2,100.2,-.016,.3245
Charlotte ,.5275,107.6,106.6,-.104,.5246
Saint Joseph's ,.5267,99.2,98.3,-.001,.5846
Texas Tech ,.5225,100.4,99.6,-.017,.6654
USC ,.5218,98.8,98.0,-.006,.6347
Oakland ,.5209,108.7,107.9,+.030,.5853
Cal Poly ,.5170,101.1,100.5,-.045,.5638
Chattanooga ,.5087,103.5,103.2,+.101,.3877
Rider ,.5080,99.1,98.9,+.102,.4118
Dartmouth ,.5076,100.4,100.2,-.025,.4522
DePaul ,.5031,104.9,104.8,-.001,.6794
Morehead St. ,.5000,101.8,101.8,-.093,.4495
UNC Wilmington ,.4964,99.2,99.3,+.062,.4730
Winthrop ,.4879,103.1,103.6,-.051,.3534
Northern Illinois ,.4830,101.4,102.0,+.005,.5244
NJIT ,.4813,101.4,102.1,+.030,.4268
Mississippi St. ,.4780,98.0,98.8,-.034,.5937
Columbia ,.4773,105.6,106.5,-.090,.4816
IPFW ,.4713,105.6,106.7,-.039,.4257
Robert Morris ,.4682,101.1,102.2,+.037,.3910
Indiana St. ,.4682,100.2,101.3,+.015,.5116
New Hampshire ,.4668,98.6,99.7,-.017,.3410
Colgate ,.4664,106.5,107.7,-.055,.4283
Tennessee Martin ,.4647,106.3,107.7,+.025,.4279
USC Upstate ,.4628,102.4,103.7,-.033,.2931
Florida Gulf Coast ,.4607,99.8,101.2,+.058,.3687
Quinnipiac ,.4570,100.3,101.8,-.091,.3754
Mercer ,.4554,102.0,103.6,-.050,.3872
Norfolk St. ,.4548,102.9,104.5,+.049,.3785
Radford ,.4511,104.3,106.1,+.077,.3978
Monmouth ,.4500,98.4,100.2,+.013,.4214
Canisius ,.4491,99.6,101.4,-.036,.4270
Charleston Southern ,.4483,105.6,107.5,+.064,.3899
Virginia Tech ,.4469,104.0,105.9,-.043,.6162
Duquesne ,.4461,107.6,109.6,-.018,.5281
Detroit ,.4459,101.5,103.4,-.008,.5346
American ,.4459,101.3,103.2,+.015,.4511
Louisiana Monroe ,.4454,96.1,98.0,+.094,.4405
Maryland Eastern Shore ,.4450,103.8,105.8,+.067,.3711
Santa Clara ,.4438,103.5,105.6,+.019,.5999
Fresno St. ,.4407,101.0,103.1,+.071,.5303
Washington St. ,.4407,107.4,109.6,+.085,.6539
Saint Peter's ,.4392,97.7,99.8,-.067,.3986
Lafayette ,.4338,110.5,113.0,+.078,.4126
Sacramento St. ,.4315,106.3,108.9,+.097,.3489
Miami OH ,.4302,100.9,103.4,+.009,.5122
Northern Arizona ,.4277,100.8,103.4,+.048,.4054
Milwaukee ,.4249,101.1,103.8,+.043,.5391
UT Arlington ,.4246,101.0,103.7,+.023,.4537
Bucknell ,.4228,104.0,106.8,+.087,.4312
Lehigh ,.4223,97.8,100.5,+.007,.4153
Air Force ,.4219,106.2,109.1,-.065,.4625
Rice ,.4202,100.7,103.6,-.056,.4783
UTSA ,.4193,104.5,107.5,-.051,.4254
James Madison ,.4170,103.0,106.0,+.120,.4431
Cornell ,.4146,94.7,97.6,-.032,.4789
Fordham ,.4134,100.5,103.6,-.060,.5715
Missouri ,.4130,99.0,102.1,-.020,.7189
Gardner Webb ,.4126,105.4,108.7,+.093,.4717
Texas Southern ,.4117,101.5,104.7,+.121,.3737
Houston ,.4115,99.8,102.9,-.051,.4294
Incarnate Word ,.4086,106.7,110.2,+.046,.3860
Oral Roberts ,.4040,102.8,106.3,+.097,.4596
George Mason ,.4026,101.0,104.5,-.033,.6437
Northwestern St. ,.4017,110.8,114.7,+.053,.4125
Rutgers ,.4011,96.6,100.0,+.036,.6956
Texas A&M Corpus Chris ,.3969,98.5,102.1,+.050,.3416
St. Francis PA ,.3828,97.7,101.8,+.031,.4223
UC Riverside ,.3823,96.0,100.1,+.021,.4813
